Time_Sec,CPU_Percent_Total,Memory_GB
1.0,53.43,1.387
2.0,62.19,1.5876
3.01,56.93,1.7454
4.01,80.04,1.9831
5.01,64.14,2.0553
6.01,81.78,2.1411
7.01,83.2,2.1641
8.01,84.32,2.2692
9.01,81.05,2.4248
10.01,68.07,2.4673
11.02,80.81,2.6018
12.02,79.13,2.7951
13.02,81.07,2.9693
14.02,86.42,3.1599
15.02,85.42,3.3702
16.02,63.94,2.8154
17.02,85.34,3.1065
18.03,79.25,3.3466
19.03,88.68,3.5046
20.03,85.7,3.8588
21.03,84.23,4.0802
22.03,78.57,4.2405
23.03,78.21,4.4595
24.03,79.13,4.7847
25.04,77.33,5.0908
26.04,77.25,5.4218
27.04,77.83,5.7292
28.04,75.54,5.992
29.04,78.35,6.1801
30.04,77.01,6.4306
31.05,75.62,6.6906
32.05,71.5,6.9235
33.05,52.72,7.1403
34.05,40.69,7.3657
35.05,69.44,7.6372
36.05,58.55,8.104
37.05,37.25,8.2189
38.06,30.89,8.2359
39.06,31.14,8.2574
40.06,28.49,2.8494
41.06,80.47,3.0385
42.06,75.36,3.1254
43.06,54.92,3.1906
44.06,48.81,2.8759
45.07,77.21,3.0387
46.07,92.8,3.1697
47.07,50.84,2.9098
48.07,80.71,3.0647
49.07,84.75,2.7708
50.07,71.16,3.0151
51.07,79.5,3.1152
52.07,65.4,2.8752
53.08,78.88,3.0401
54.08,88.5,3.1439
55.08,68.11,2.9927
56.08,78.12,3.086
57.08,89.99,3.2694
58.08,65.72,2.9911
59.08,78.08,3.1149
60.09,78.41,2.8575
61.09,79.26,3.0953
62.09,76.43,3.4304
63.09,70.98,3.7107
64.09,89.5,3.8818
65.09,87.43,4.0609
66.09,81.21,4.2301
67.1,79.06,4.4274
68.1,74.41,4.6175
69.1,78.38,4.8051
70.1,77.22,4.9777
71.1,75.73,5.1373
72.1,67.76,5.4112
73.11,78.49,5.6303
74.11,76.49,5.9084
75.11,75.41,6.1836
76.11,75.59,6.4288
77.11,75.46,6.7073
78.11,77.63,6.9212
79.11,75.64,7.1437
80.12,76.08,7.3556
81.12,76.28,7.5516
82.12,81.55,8.0205
83.12,77.26,8.0737
84.12,68.05,8.0744
85.12,55.44,8.0751
86.13,38.94,8.0752
87.13,34.39,8.0752
88.13,34.71,8.1754
89.13,38.29,8.1754
90.13,43.64,8.1754
91.13,61.9,8.1754
92.13,30.58,8.1754
93.14,30.95,8.1753
94.14,29.9,8.1754
95.14,28.29,8.1704
96.14,27.98,8.1704
97.14,28.75,8.1704
98.14,26.17,8.1704
99.14,31.55,8.1704
100.15,25.61,8.2621
101.15,28.3,8.3038
102.15,49.23,8.8079
103.15,26.92,8.8079
104.15,26.87,8.8079
105.15,29.27,8.8079
106.15,35.84,8.8079
107.16,41.03,8.8079
108.16,45.51,2.8662
109.16,82.5,3.1227
110.16,77.06,3.4684
111.16,74.65,3.721
112.16,85.76,3.8673
113.16,88.52,4.0259
114.16,79.44,4.1295
115.17,74.15,4.2681
116.17,76.86,4.4258
117.17,66.37,4.609
118.17,79.47,4.7849
119.17,78.71,4.9531
120.17,76.42,5.1146
121.18,74.35,5.3137
122.18,67.38,5.5583
123.18,77.58,5.8092
124.18,76.64,6.1131
125.18,74.3,6.3104
126.18,75.42,6.6345
127.19,73.92,6.8402
128.19,51.92,7.0733
129.19,41.9,7.2907
130.19,28.65,7.4877
131.19,46.93,7.8832
132.19,39.83,8.0728
133.19,48.02,8.0728
134.2,50.2,8.0729
135.2,33.18,8.1731
136.2,35.01,8.2733
137.2,31.23,8.2732
138.2,41.94,8.2732
139.2,31.68,8.2733
140.21,31.18,8.2733
141.21,41.77,8.2733
142.21,26.12,8.2733
143.21,31.44,8.2732
144.21,25.44,8.2733
145.21,25.75,8.2733
146.21,25.29,8.2733
147.22,29.02,8.2733
148.22,34.33,8.2733
149.22,25.59,8.2733
150.22,31.03,8.2734
151.22,27.77,8.2734
152.22,28.09,8.2734
153.23,48.43,8.8098
154.23,26.16,8.8097
155.23,25.68,8.8097
156.23,29.37,8.8097
157.23,34.51,8.8097
158.23,28.77,8.8097
159.23,69.86,6.9766
160.24,57.03,2.9911
161.24,79.24,3.4252
162.24,77.76,3.7444
163.24,91.28,3.9415
164.24,85.77,4.0897
165.24,80.69,4.2269
166.25,76.88,4.3575
167.25,78.17,4.5158
168.25,72.04,4.6691
169.25,77.47,4.8242
170.25,74.04,4.9849
171.25,76.52,5.1429
172.26,70.86,5.3949
173.26,77.17,5.5859
174.26,77.84,5.8169
175.26,76.69,6.1258
176.26,73.1,6.3245
177.26,75.24,6.6562
178.26,72.64,6.8536
179.27,61.53,7.087
180.27,40.39,7.3081
181.27,28.64,7.4984
182.27,40.76,7.7101
183.27,54.19,8.1394
184.27,44.56,8.1914
185.28,46.72,8.1915
186.28,54.2,8.1917
187.28,30.39,8.1917
188.28,39.35,8.1917
189.28,27.07,8.1917
190.28,36.34,8.1983
191.29,28.33,8.2918
192.29,45.3,8.2917
193.29,33.43,8.2917
194.29,29.33,8.2917
195.29,26.39,8.2917
196.29,26.76,8.2917
197.3,26.42,8.2918
198.3,41.75,8.2918
199.3,31.98,8.2918
200.3,38.38,8.2918
201.3,25.74,8.2918
202.3,26.93,8.2918
203.31,52.18,8.7849
204.31,25.37,8.833
205.31,28.57,8.833
206.31,25.63,8.8329
207.31,27.63,8.8329
208.31,38.45,8.8329
209.31,28.81,8.8332
210.32,54.12,2.9934
211.32,68.2,3.0297
212.32,79.26,3.3573
213.32,76.67,3.7112
214.32,80.43,3.8492
215.32,89.47,4.047
216.32,80.78,4.2197
217.33,74.15,4.3847
218.33,79.03,4.6019
219.33,64.62,4.7429
220.33,77.12,4.8891
221.33,77.82,5.0404
222.33,76.23,5.1903
223.33,72.19,5.4416
224.34,77.38,5.6362
225.34,76.39,5.886
226.34,76.48,6.1731
227.34,75.59,6.3795
228.34,75.53,6.688
229.34,77.55,6.8779
230.34,61.18,7.0993
