Time_Sec,CPU_Percent,Memory_GB
247.11,104.5,7.6359
248.11,131.3,7.6368
249.12,108.4,7.6368
250.12,103.5,7.6368
251.13,238.2,7.6375
252.13,6.0,1.7253
253.13,335.9,2.0047
254.14,305.5,2.3311
255.14,259.2,2.5665
256.14,374.9,2.8098
257.15,330.3,2.9673
258.15,317.6,3.1516
259.16,322.3,3.4106
260.16,297.5,3.5794
261.17,310.6,3.7456
262.17,306.4,3.9045
263.18,305.4,4.0849
264.18,227.9,4.3178
265.19,299.7,4.5764
266.19,309.4,4.9476
267.2,306.7,5.2242
268.2,305.4,5.5566
269.21,281.5,5.8368
270.21,212.9,6.1226
271.22,155.2,6.3608
272.22,135.3,6.5931
273.23,210.1,6.9955
274.23,188.0,6.9955
275.24,209.9,6.9955
276.24,121.4,7.0919
277.25,126.4,7.0955
278.26,178.8,7.1014
279.26,153.2,7.1014
280.27,184.1,7.1014
281.27,113.4,7.1014
282.28,102.5,7.0975
283.28,117.4,7.0975
284.29,105.5,7.0975
285.29,102.5,7.0975
286.3,105.5,7.0975
287.3,141.3,7.0975
288.31,128.3,7.0975
289.31,132.3,7.0975
290.32,110.4,7.0975
291.32,108.7,7.0975
292.33,208.0,7.6362
293.33,106.5,7.6363
294.34,115.4,7.6363
295.34,126.4,7.6363
296.34,204.5,7.6366
297.35,14.0,1.7199
298.35,331.3,1.9921
299.35,315.0,2.3441
300.36,310.4,2.5852
301.36,358.9,2.749
302.37,346.3,2.9254
303.37,312.4,3.1174
304.38,321.3,3.3754
305.38,308.4,3.6205
306.39,308.4,3.855
307.39,303.6,4.1026
308.4,301.5,4.3493
309.4,313.5,4.6492
310.41,305.4,5.0275
311.41,303.6,5.3128
312.42,313.4,5.6043
313.42,304.4,5.8692
314.43,304.4,6.1496
315.43,304.6,6.3931
316.44,310.2,6.6825
317.44,319.1,7.022
318.44,278.8,7.0222
319.45,237.8,7.0222
320.45,151.2,7.1198
321.46,142.3,7.1222
322.46,161.2,7.1222
323.47,140.3,7.1222
324.47,132.3,7.1222
325.48,144.3,7.1222
326.48,124.4,7.1222
327.49,108.4,7.1222
328.49,122.4,7.1225
329.5,119.4,7.1226
330.5,122.4,7.1226
331.51,117.4,7.1226
332.51,133.3,7.1226
333.52,101.5,7.1226
334.52,217.9,7.6161
335.53,102.5,7.6639
336.54,106.5,7.6641
337.54,111.4,7.6641
338.55,129.3,7.6641
339.55,113.4,7.6641
340.55,193.5,1.6092
341.56,2.0,1.9755
342.56,312.6,2.5066
343.56,336.0,2.725
344.57,344.0,2.9246
345.57,321.4,3.0692
346.58,313.4,3.2736
347.58,312.5,3.4819
348.59,316.4,3.7466
349.59,308.4,3.9856
350.6,280.6,4.2945
351.6,308.4,4.557
352.61,310.4,4.922
353.61,281.3,5.224
354.61,306.5,5.5747
355.62,311.6,5.8554
356.62,300.5,6.1311
357.63,251.8,6.311
358.63,237.8,6.5098
