Time_Sec,CPU_Percent_Total,Memory_GB
1.0,223.41,0.3635
2.0,249.79,0.5932
3.0,262.77,0.802
4.01,297.63,0.9439
5.01,307.47,1.0645
6.01,338.9,1.1715
7.01,347.34,1.2847
8.01,327.07,1.4091
9.01,288.25,1.4945
10.01,270.65,1.6548
11.02,321.75,1.848
12.02,355.3,2.1391
13.02,317.0,2.2346
14.02,346.82,2.3933
15.02,301.49,2.6103
16.02,325.13,2.9273
17.02,322.4,3.2336
18.02,307.42,3.5176
19.03,310.76,3.8719
20.03,307.11,4.121
21.03,302.95,4.3846
22.03,304.37,4.6546
23.03,305.65,4.9253
24.03,303.26,5.2637
25.04,306.75,5.6574
26.04,310.98,5.918
27.04,306.93,6.1885
28.04,226.99,1.7582
29.04,291.48,1.9969
30.04,315.93,2.1818
31.04,353.65,2.312
32.04,309.16,2.5034
33.05,322.19,2.8443
34.05,320.97,3.23
35.05,313.77,3.4986
36.05,312.25,3.8896
37.05,306.29,4.2019
38.05,304.28,4.5308
39.05,308.99,4.8542
40.06,305.06,5.2496
41.06,305.0,5.6297
42.06,318.22,5.896
43.06,304.23,6.161
44.06,254.72,2.498
45.06,267.08,1.9632
46.06,333.83,2.0706
47.06,285.13,1.923
48.07,327.22,2.1042
49.07,265.54,1.8464
50.07,334.43,2.1823
51.07,343.59,2.2934
52.07,327.33,2.4922
53.07,301.38,1.7603
54.07,289.05,1.9898
55.07,339.47,2.1308
56.08,295.38,1.8224
57.08,301.49,1.991
58.08,336.07,2.1589
59.08,343.7,2.3797
60.08,255.63,1.8973
61.08,334.32,2.0814
62.08,300.01,1.9088
63.09,305.54,2.0736
64.09,357.08,2.2091
65.09,287.7,2.1035
66.09,360.37,2.2407
67.09,288.02,2.1508
68.09,342.82,1.908
69.09,295.56,2.2019
70.1,357.63,2.3288
71.1,274.45,2.0
72.1,337.69,2.2071
73.1,376.03,2.4168
74.1,316.0,2.7281
75.1,237.73,1.979
76.1,302.15,2.1683
77.1,354.11,2.2963
78.11,350.95,2.5686
79.11,222.69,2.0661
80.11,331.7,2.2326
81.11,350.55,2.4441
82.11,322.11,2.6821
83.11,228.07,2.0338
84.11,312.08,2.1922
85.11,362.4,2.3494
86.12,330.69,2.5934
87.12,235.77,2.0202
88.12,339.09,2.1867
89.12,356.5,1.9083
90.12,280.29,2.1467
91.12,328.09,2.257
92.12,274.19,2.0027
93.13,309.62,2.1717
94.13,365.16,2.1803
95.13,300.13,2.2058
96.13,361.42,2.4035
97.13,360.81,2.6147
98.13,314.18,2.9906
99.13,188.52,3.4086
100.14,242.56,1.9135
101.14,285.44,2.1676
102.14,331.09,2.3636
103.14,380.58,2.5055
104.14,333.04,2.6358
105.14,244.06,2.9502
106.14,253.11,3.2672
107.14,283.16,3.6204
108.15,167.75,4.0147
109.15,196.72,4.4128
110.15,198.26,2.0363
111.15,347.01,2.3411
112.15,303.91,2.4349
113.15,348.79,2.6008
114.15,339.4,2.7976
115.16,324.79,3.0527
116.16,256.1,2.0031
117.16,313.76,2.2256
118.16,317.87,2.3414
119.16,263.66,2.0608
120.16,336.06,2.2508
121.16,324.09,1.9889
122.16,286.33,2.1576
123.17,323.45,2.2741
124.17,291.25,2.1522
125.17,312.66,2.2634
126.17,278.7,2.074
127.17,323.37,2.2221
128.17,271.07,2.0238
129.17,311.15,2.1914
130.17,355.11,1.9256
131.18,276.96,2.1569
132.18,319.4,2.2558
133.18,275.72,2.1276
134.18,315.45,2.2217
135.18,269.69,2.1456
136.18,312.98,2.4319
137.18,366.61,2.5311
138.18,345.43,2.7
139.19,265.69,2.074
140.19,339.18,2.2989
141.19,369.19,2.5004
142.19,321.56,2.8196
143.19,278.81,2.0217
144.19,320.81,2.2735
145.19,328.49,2.4292
146.19,341.1,2.6676
147.2,319.63,2.9503
148.2,313.74,3.2454
149.2,311.08,3.5401
150.2,301.6,3.8199
151.2,303.47,4.1212
152.2,304.16,4.459
153.2,305.32,4.8697
154.21,303.22,5.2307
155.21,307.54,5.5657
156.21,300.61,5.8959
157.21,303.73,6.2017
158.21,301.15,6.6288
159.21,320.65,7.0694
160.21,311.84,7.1223
161.21,297.38,7.1649
162.21,313.43,7.2243
163.22,270.46,7.2243
164.22,321.57,7.2246
165.22,232.07,7.2293
166.22,161.98,2.0423
167.22,328.91,2.2349
168.22,271.27,2.0934
169.22,299.05,2.2392
170.23,288.63,2.0343
171.23,317.75,2.2899
172.23,303.18,2.3936
173.23,350.42,2.5481
174.23,336.27,2.8051
175.23,316.25,3.0712
176.23,324.43,3.3787
177.24,265.69,3.5131
178.24,201.72,3.5869
179.24,190.48,3.6367
180.24,112.87,3.6821
181.24,103.45,3.7208
182.24,120.1,3.7587
183.24,103.05,3.7885
184.24,101.17,3.7991
185.25,105.46,3.8179
186.25,101.51,3.8536
187.25,103.0,3.8821
