conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,same_start_class,same_start_method,scenario_jar,scenario_index
28,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,5
29,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,5
30,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,5
31,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,5
32,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,5
33,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,6
34,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,6
35,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,7
36,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,7
37,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,7
38,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,8
39,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,8
40,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,8
41,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,9
42,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,9
43,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,9
44,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,10
45,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,10
46,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jetty-bootstrap/17deab171882d57f5d02052ea6e631cb11aa0d55/original-without-dependencies/merge/jetty-bootstrap-standalone-1.0.4-SNAPSHOT.jar,10
47,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/google-oauth-plugin/94f08c7c32d576d99ddd3e215b67653fc99eaeca/original-without-dependencies/merge/google-oauth-plugin.jar,11
48,5,3,5,2,True,True,True,True,/home/oav2/miningframework/output/files/ec2-plugin/6520e9f879484a1b38e0abebc3b88de7662d2cb5/original-without-dependencies/merge/ec2.jar,12
49,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/active-directory-plugin/2ea4fe7df1bd84db4fc64f04053f6e23a3460df6/original-without-dependencies/merge/active-directory.jar,13
50,4,3,4,1,True,True,True,True,/home/oav2/miningframework/output/files/log-parser-plugin/a4d0e3ca611eef6567b9ac34a8b8453a35fb4fd8/original-without-dependencies/merge/log-parser.jar,14
51,3,3,3,0,True,False,True,True,/home/oav2/miningframework/output/files/coverity-plugin/22b9d50b9e08c024210a30efab4f82b3933f56e6/original-without-dependencies/merge/coverity.jar,15
52,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/e6e4f8a32b62f8753af9950b4f434ec4e7ffd07f/original-without-dependencies/merge/coverity.jar,16
53,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/e6e4f8a32b62f8753af9950b4f434ec4e7ffd07f/original-without-dependencies/merge/coverity.jar,16
54,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/maven-hpi-plugin/d65f4ba879cf14e39c5e502787d736afa054ea92/original-without-dependencies/merge/maven-hpi-plugin-3.44-SNAPSHOT.jar,17
55,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,18
56,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,18
57,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,19
58,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,19
59,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,20
60,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,20
61,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,21
62,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/coverity-plugin/09ae8cd6353743a1ebbd9bbfb903b60d7c7bbf55/original-without-dependencies/merge/coverity.jar,21
63,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jira-client/3bc59bcee2e94a0905d0325aa037ecf68133ca64/original-without-dependencies/merge/jira-client-0.5-SNAPSHOT.jar,22
64,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jira-client/3bc59bcee2e94a0905d0325aa037ecf68133ca64/original-without-dependencies/merge/jira-client-0.5-SNAPSHOT.jar,22
65,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,23
66,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
67,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
68,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
69,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
70,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
71,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
72,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
73,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
74,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
75,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
76,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
77,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/cd88626a4e665e548f0981fdd26994e4819de68c/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,24
78,3,4,4,1,True,True,True,True,/home/oav2/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,25
79,2,1,2,1,True,False,True,True,/home/oav2/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,25
80,3,2,3,1,True,False,True,True,/home/oav2/miningframework/output/files/hdt-java/75f3d402bc177bac168e7ea810c16f6d98776f89/original-without-dependencies/merge/hdt-java-core-2.1-SNAPSHOT.jar,25
