Time_Sec,CPU_Percent_Total,Memory_GB
1.0,53.38,1.3939
2.0,63.0,1.5963
3.0,59.22,1.7604
4.01,75.78,1.9829
5.01,59.14,2.0576
6.01,79.71,2.2058
7.01,81.74,2.3356
8.01,86.24,2.4031
9.01,82.7,2.5251
10.02,77.15,2.6183
11.02,63.01,2.6631
12.02,78.36,2.8472
13.02,79.18,3.0375
14.02,76.33,3.1927
15.02,86.91,3.4502
16.02,78.51,3.5085
17.03,71.19,3.1042
18.03,77.45,3.4318
19.03,86.81,3.6131
20.03,88.82,3.8874
21.03,82.75,4.1543
22.03,83.92,4.2979
23.04,77.93,4.4533
24.04,77.82,4.6292
25.04,77.65,4.9312
26.04,78.56,5.2299
27.04,76.92,5.5129
28.04,77.34,5.8513
29.04,76.04,6.1242
30.05,77.17,6.3126
31.05,77.87,6.4953
32.05,79.01,6.797
33.05,66.58,7.0241
34.05,74.24,7.2587
35.05,74.74,7.507
36.06,59.89,7.7424
37.06,51.89,8.2562
38.06,49.54,8.3275
39.06,34.1,8.4508
40.06,28.84,8.4768
41.06,40.98,3.0728
42.06,80.52,3.2435
43.06,84.07,3.3285
44.07,65.66,3.4521
45.07,65.1,3.0962
46.07,71.93,3.2396
47.07,80.58,3.0012
48.07,73.23,3.2165
49.07,88.2,3.349
50.07,61.99,3.0949
51.07,74.7,3.25
52.08,82.06,2.9621
53.08,72.38,3.2035
54.08,84.01,3.3045
55.08,68.93,3.0914
56.08,72.91,3.2471
57.08,91.46,3.4339
58.08,72.18,3.1468
59.09,72.28,3.2829
60.09,78.08,3.0527
61.09,85.69,3.3809
62.09,76.51,3.8291
63.09,77.73,3.9918
64.09,88.37,4.1688
65.09,81.0,4.3194
66.09,79.91,4.4939
67.1,79.7,4.694
68.1,77.71,4.8728
69.1,77.19,5.0441
70.1,77.69,5.2166
71.1,75.87,5.3865
72.1,68.51,5.6567
73.11,76.7,5.8631
74.11,77.28,6.1591
75.11,75.24,6.4064
76.11,73.12,6.6821
77.11,75.89,6.9431
78.11,75.54,7.1603
79.11,73.94,7.4022
80.12,57.08,7.5825
81.12,43.93,7.7954
82.12,37.38,8.0385
83.12,52.34,8.357
84.12,46.93,8.3569
85.12,49.49,8.3574
86.13,28.05,8.4575
87.13,35.94,8.4578
88.13,29.43,8.4578
89.13,35.86,8.4578
90.13,29.6,8.4578
91.13,32.72,8.4578
92.13,31.39,8.4578
93.14,31.47,8.4578
94.14,32.0,8.4578
95.14,27.06,8.4578
96.14,27.15,8.4578
97.14,25.38,8.4578
98.14,30.73,8.4578
99.15,40.53,8.4578
100.15,33.61,8.4578
101.15,29.76,8.4578
102.15,51.88,8.9518
103.15,27.81,8.9999
104.15,36.6,8.9999
105.16,32.07,8.9999
106.16,37.49,8.9999
107.16,32.54,9.0
108.16,53.48,3.0401
109.16,75.82,3.2508
110.16,76.94,3.5704
111.16,71.91,3.8843
112.17,77.42,4.0054
113.17,88.58,4.1918
114.17,80.63,4.3471
115.17,77.88,4.5147
116.17,76.86,4.7345
117.17,77.43,4.9016
118.17,76.89,5.0694
119.18,76.95,5.2425
120.18,75.64,5.412
121.18,69.56,5.6682
122.18,76.98,5.8548
123.18,75.91,6.1343
124.18,75.48,6.3976
125.19,75.96,6.6581
126.19,75.4,6.9052
127.19,75.91,7.1191
128.19,75.56,7.3325
129.19,76.36,7.5429
130.19,76.23,7.7171
131.2,75.89,7.9107
132.2,81.32,8.3151
133.2,76.86,8.3619
134.2,76.24,8.3644
135.2,74.21,8.3658
136.2,44.02,8.466
137.2,42.33,8.4662
138.21,38.96,8.4607
139.21,33.45,8.4607
140.21,68.31,8.4607
141.21,59.24,8.4607
142.21,27.42,8.4607
143.21,33.29,8.4607
144.22,25.61,8.4607
145.22,28.91,8.4607
146.22,26.64,8.4607
147.22,25.83,8.4607
148.22,28.37,8.4607
149.22,35.46,8.4607
150.23,27.12,8.4609
151.23,37.29,8.4609
152.23,29.54,8.4609
153.23,44.36,8.7483
154.23,35.68,9.0021
155.23,25.54,9.0021
156.23,25.33,9.0021
157.24,31.43,9.0021
158.24,30.38,9.0021
159.24,35.14,9.0021
160.24,60.4,3.7587
161.24,65.38,3.2096
162.24,79.89,3.5251
163.25,77.92,3.8935
164.25,88.3,4.0378
165.25,88.71,4.236
166.25,81.35,4.4011
167.25,74.94,4.5572
168.25,80.56,4.7626
169.25,77.64,4.92
170.26,76.43,5.0742
171.26,75.05,5.228
172.26,75.95,5.3698
173.26,76.46,5.5431
174.26,77.12,5.7697
175.26,76.23,5.9764
176.26,76.08,6.2679
177.27,75.12,6.4546
178.27,76.24,6.7564
179.27,75.62,6.9779
180.27,76.15,7.1915
181.27,76.36,7.4148
182.27,76.41,7.5976
183.27,76.15,7.7721
184.28,75.47,7.9632
185.28,80.81,8.3154
186.28,78.37,8.3154
187.28,74.9,8.3154
188.28,75.0,8.3155
189.28,64.32,8.3155
190.28,69.33,8.3155
191.29,42.74,8.3977
192.29,45.88,8.3978
193.29,41.7,8.3978
194.29,34.69,8.3978
195.29,28.42,8.3978
196.29,36.96,8.3978
197.3,34.14,8.3978
198.3,30.83,8.3978
199.3,32.45,8.3979
200.3,26.93,8.3979
201.3,38.65,8.3979
202.3,38.72,8.398
203.31,27.27,8.398
204.31,53.4,8.882
205.31,26.69,8.9822
206.31,26.99,8.9822
207.31,25.67,8.9822
208.31,27.25,8.9822
209.32,37.61,8.9822
210.32,25.8,8.9988
211.32,60.5,6.0414
212.32,55.17,3.1364
