Time_Sec,CPU_Percent_Total,Memory_GB
1.0,54.3,1.3936
2.0,64.07,1.6029
3.0,60.78,1.7679
4.01,79.66,1.9978
5.01,64.86,2.0835
6.01,82.42,2.2272
7.01,83.17,2.3552
8.01,86.55,2.4365
9.01,82.75,2.5586
10.02,66.57,2.6166
11.02,67.83,2.741
12.02,83.17,2.8677
13.02,77.36,3.0916
14.02,79.58,3.2268
15.02,83.11,3.4813
16.02,75.73,2.9596
17.03,77.78,3.1799
18.03,80.69,3.5182
19.03,86.72,3.6272
20.03,84.75,3.899
21.03,83.33,4.1471
22.03,80.6,4.3132
23.03,79.44,4.491
24.03,76.56,4.6752
25.04,77.85,4.9614
26.04,77.96,5.216
27.04,76.06,5.4546
28.04,77.02,5.7423
29.04,77.4,6.0435
30.04,76.31,6.2672
31.05,77.15,6.4629
32.05,79.04,6.7704
33.05,63.46,7.0021
34.05,68.61,7.2418
35.05,73.2,7.4785
36.05,75.08,7.7882
37.05,82.13,8.3001
38.05,63.8,8.3675
39.06,34.73,8.3889
40.06,32.98,8.4125
41.06,26.49,3.0277
42.06,75.5,3.2103
43.06,73.63,3.3001
44.06,48.9,3.3682
45.07,54.66,3.0906
46.07,86.74,3.2823
47.07,69.93,3.0696
48.07,85.7,3.2638
49.07,75.56,3.042
50.07,71.68,3.2141
51.07,86.62,3.3361
52.07,66.57,3.1155
53.08,88.41,3.2774
54.08,74.7,3.0564
55.08,86.66,3.2644
56.08,94.21,3.472
57.08,68.34,3.1679
58.08,74.12,3.2919
59.09,78.62,3.0443
60.09,79.2,3.2866
61.09,77.45,3.6209
62.09,69.35,3.8924
63.09,90.64,4.0733
64.09,85.82,4.244
65.09,79.15,4.3908
66.1,72.25,4.5398
67.1,76.08,4.7115
68.1,77.58,4.8775
69.1,76.58,5.0285
70.1,77.15,5.1806
71.11,77.45,5.309
72.11,73.33,5.5105
73.11,68.76,5.7455
74.11,77.85,5.9845
75.11,75.52,6.2808
76.11,69.08,6.4428
77.11,76.16,6.7701
78.11,75.6,6.9686
79.12,76.7,7.1817
80.12,76.95,7.4083
81.12,60.5,7.5811
82.12,51.6,7.7913
83.12,49.22,7.9488
84.12,59.22,8.31
85.12,51.58,8.31
86.13,42.42,8.31
87.13,31.25,8.31
88.13,39.64,8.4101
89.13,36.84,8.4044
90.13,41.31,8.4044
91.13,33.44,8.4044
92.14,67.51,8.4045
93.14,45.76,8.4046
94.14,28.29,8.4046
95.14,30.05,8.4046
96.14,26.35,8.4046
97.14,26.67,8.4046
98.15,29.58,8.4046
99.15,25.81,8.4046
100.15,26.63,8.4046
101.15,25.71,8.4046
102.15,25.89,8.4046
103.15,50.83,8.8941
104.16,43.02,8.9923
105.16,44.16,8.9923
106.16,25.71,8.9923
107.16,28.23,8.9923
108.16,36.98,8.9923
109.16,30.35,8.9923
110.17,53.93,7.1062
111.17,53.98,3.1257
112.17,83.76,3.4644
113.17,75.96,3.7923
114.17,69.4,3.9489
115.17,90.97,4.1713
116.17,81.28,4.3135
117.18,74.0,4.4652
118.18,76.8,4.6399
119.18,71.64,4.8297
120.18,77.07,4.9786
121.18,76.71,5.1404
122.18,76.43,5.3077
123.18,72.11,5.5133
124.19,74.3,5.7422
125.19,77.73,5.9606
126.19,76.6,6.2708
127.19,71.3,6.4616
128.19,75.67,6.7903
129.19,75.89,6.9943
130.19,75.99,7.2202
131.19,64.81,7.4583
132.2,32.35,7.6456
133.2,40.97,7.8588
134.2,58.2,8.3044
135.2,36.81,8.4046
136.2,42.77,8.4046
137.2,43.45,8.4046
