Time_Sec,CPU_Percent,Memory_GB
0.0,0.0,0.0009
1.0,194.6,0.1967
2.01,41.9,0.4552
3.01,273.9,0.6787
4.01,289.1,0.8521
5.02,322.0,0.9756
6.02,340.0,0.9974
7.02,339.6,1.1969
8.03,283.1,1.2619
9.03,163.5,1.4395
10.03,260.3,1.6427
11.04,303.0,1.8148
12.04,349.2,2.0261
13.04,349.9,2.2334
14.05,31.9,1.6434
15.05,341.0,1.9237
16.06,314.4,2.2072
17.06,357.9,2.3636
18.06,343.3,2.7112
19.07,337.2,2.9725
20.07,321.3,3.1934
21.08,311.5,3.495
22.08,314.3,3.8987
23.09,305.4,4.2621
24.09,307.4,4.611
25.1,304.4,4.9026
26.11,309.3,5.1282
27.11,318.3,5.4466
28.12,206.9,5.9081
29.12,150.2,6.3811
30.13,195.0,6.8007
31.13,163.1,6.826
32.14,226.8,6.8268
33.14,105.5,6.8268
34.15,105.4,6.8269
35.15,101.5,6.9269
36.16,221.9,6.927
37.16,113.4,6.9272
38.17,114.4,6.9272
39.17,205.4,6.9276
40.18,174.5,6.928
41.18,123.4,6.928
42.19,101.5,6.928
43.19,135.3,6.9285
44.2,147.3,7.1999
45.2,10.0,1.6398
46.2,309.3,1.814
47.21,343.2,1.9168
48.21,209.9,1.9828
49.22,7.0,1.6426
50.23,301.1,1.8111
51.23,361.6,1.9369
52.23,12.0,1.7271
53.24,309.0,1.8632
54.24,342.2,2.0044
55.25,4.0,1.731
56.25,328.1,1.8669
57.25,10.0,1.6462
58.26,297.5,1.8128
59.26,364.8,1.9417
60.27,3.0,1.7388
61.27,314.0,1.8635
62.28,358.1,2.0611
63.28,10.0,1.7276
64.28,316.2,1.8761
65.29,363.3,2.0444
66.29,8.0,1.7197
67.3,326.5,2.0434
68.3,302.4,2.4065
69.3,308.0,2.5329
70.31,352.8,2.7355
71.31,334.2,2.8574
72.32,317.3,3.003
73.32,315.3,3.1727
74.33,312.4,3.3566
75.34,308.3,3.5249
76.34,310.3,3.7126
77.35,307.3,3.8986
78.35,297.1,4.1598
79.35,304.6,4.3977
80.36,303.4,4.682
81.36,305.4,4.9828
82.37,299.4,5.2687
83.37,310.8,5.5261
84.38,304.6,5.7492
85.38,296.2,6.0163
86.39,306.4,6.2338
87.39,221.3,6.5651
88.4,221.9,6.7897
89.4,194.0,6.7897
90.41,225.9,6.7898
91.41,156.2,6.7898
92.42,122.3,6.7898
93.42,130.3,6.7898
94.43,164.2,6.7898
95.43,158.1,6.8874
96.44,199.0,6.8901
97.44,237.8,6.8901
98.45,210.9,6.8901
99.45,162.1,6.8901
100.46,106.4,6.8901
101.46,126.3,6.8902
102.47,122.4,6.8902
103.47,105.5,6.8902
104.48,137.3,6.8904
105.48,132.3,6.9046
106.49,106.4,6.9904
107.49,202.1,7.4742
108.5,100.5,7.5713
109.5,101.5,7.5713
110.51,110.4,7.5713
111.51,122.5,7.5713
112.52,131.3,7.5713
113.52,101.5,7.5713
114.53,270.6,7.5717
115.53,193.0,7.5717
116.54,254.7,7.5719
117.54,239.9,7.5824
118.55,108.4,7.5824
119.56,102.5,7.5824
120.56,192.0,7.7958
121.57,119.4,7.7798
122.57,101.5,7.7798
123.58,100.5,7.7798
124.58,100.5,7.7798
125.59,101.5,7.7798
126.59,101.5,7.7798
127.6,102.5,7.7798
128.6,102.5,7.7798
129.61,6.0,1.575
130.61,289.4,1.8193
131.62,309.3,2.1534
132.62,300.4,2.4811
133.63,343.9,2.5751
134.63,357.9,2.7915
135.64,326.2,2.9521
136.64,312.3,3.1232
137.65,318.3,3.3526
138.65,304.3,3.5136
139.66,311.3,3.7083
140.66,306.4,3.8954
141.67,259.1,4.1461
142.67,309.0,4.3789
143.67,304.1,4.668
144.68,302.5,4.9504
145.68,300.4,5.2109
146.69,309.3,5.4873
147.69,305.4,5.7276
148.7,302.4,5.9585
149.7,310.3,6.1646
150.71,304.4,6.3707
151.71,304.6,6.5854
152.72,313.1,6.944
153.72,310.6,6.9451
154.73,265.0,6.9454
155.73,181.0,6.9455
156.74,159.2,7.0455
157.74,123.4,7.0457
158.75,145.2,7.0457
159.75,145.2,7.0458
160.76,135.3,7.0458
161.76,136.3,7.0458
162.77,114.4,7.0458
163.77,120.4,7.0458
164.78,112.4,7.0458
165.78,139.2,7.0458
166.79,111.4,7.0458
167.79,115.4,7.0458
168.8,109.4,7.0458
169.81,105.4,7.0458
170.81,137.3,7.0458
171.82,101.5,7.0458
172.82,144.6,7.2376
173.82,165.1,7.5864
174.83,102.5,7.5864
175.84,117.4,7.5864
176.84,127.4,7.5864
177.85,122.4,7.5864
178.85,204.4,7.5866
179.85,190.1,7.5868
180.86,230.8,7.5868
181.86,284.5,7.5983
182.87,207.9,7.6025
183.88,159.1,7.6026
184.88,192.0,7.8038
185.89,102.5,7.8038
186.89,102.4,7.8038
187.89,99.7,7.8038
188.9,105.5,7.8038
189.9,100.5,7.8038
190.91,113.4,7.8038
191.91,108.6,7.8039
192.92,102.5,7.8039
193.92,103.4,7.8039
194.93,101.5,7.8039
195.93,157.3,7.8039
196.94,99.5,7.8039
197.94,100.5,7.8039
198.95,99.5,7.8039
199.95,101.7,7.8039
200.96,101.5,7.8039
201.96,106.4,7.8039
202.97,100.4,7.8039
203.97,100.5,7.8039
204.98,101.5,7.8039
205.98,107.4,7.8039
206.99,113.4,7.8041
208.0,99.5,7.8041
209.0,100.4,7.8041
210.01,101.4,7.8041
211.01,99.5,7.8041
212.02,103.5,7.8042
213.02,102.5,7.8042
214.03,103.2,7.8042
215.04,99.4,7.8042
216.04,101.5,7.8042
217.05,100.5,7.8042
218.05,101.4,7.8042
219.06,100.5,7.8042
220.06,100.5,7.8042
221.07,100.5,7.8042
222.07,100.5,7.8042
223.08,101.5,7.8042
224.08,102.5,7.8042
225.09,99.5,7.8042
226.09,101.5,7.8042
227.1,99.5,7.8042
228.1,101.5,7.8042
229.11,101.5,7.8042
230.12,103.5,7.8042
231.12,100.5,7.8042
232.13,100.5,7.8042
233.13,100.5,7.8042
234.14,212.3,7.8052
235.14,227.8,1.5382
236.14,2.0,1.714
237.15,318.1,2.0574
238.15,307.4,2.4843
239.16,327.2,2.6417
240.17,350.3,2.8542
241.17,311.3,3.0393
242.18,296.7,3.2463
243.18,308.6,3.4627
244.19,308.4,3.6505
245.19,310.5,3.85
246.2,303.4,4.0702
247.2,294.4,4.3261
248.2,316.8,4.5971
249.21,303.4,4.9433
250.22,307.3,5.2253
251.22,307.2,5.5062
252.22,308.7,5.7487
253.23,302.3,6.0123
254.23,305.3,6.2341
255.24,304.4,6.4711
256.24,251.6,6.8933
257.25,160.0,6.9454
258.25,171.5,6.9454
259.26,190.8,6.9454
260.26,133.6,7.0454
261.27,124.4,7.0454
262.27,148.2,7.0454
263.28,123.3,7.0454
264.28,144.3,7.0454
265.29,128.3,7.0456
266.29,131.3,7.0458
267.3,113.4,7.0458
268.3,115.4,7.0458
269.31,111.4,7.0458
270.31,119.4,7.0458
271.32,128.3,7.0458
272.32,109.4,7.0458
273.33,202.9,7.5396
274.33,113.7,7.5874
275.34,104.5,7.5875
276.34,119.6,7.5875
277.35,130.4,7.5875
278.35,140.6,7.5876
279.35,291.5,7.588
280.36,164.1,7.588
281.36,120.5,7.588
282.37,3.0,1.5653
283.37,306.1,1.8938
284.38,308.4,2.3532
285.38,347.0,2.5638
286.38,361.6,2.7937
287.39,330.2,2.9816
288.39,314.5,3.1956
289.4,309.3,3.4184
290.4,307.4,3.64
291.41,310.4,3.8526
292.42,304.4,4.0702
293.42,281.5,4.3259
294.43,310.3,4.5949
295.43,305.4,4.9375
296.44,277.5,5.211
297.44,309.5,5.4891
298.45,309.3,5.7296
299.45,303.4,5.9934
300.46,303.4,6.206
