Time_Sec,CPU_Percent_Total,Memory_GB
1.0,54.79,0.3397
2.0,63.46,0.5529
3.01,60.01,0.7145
4.01,73.84,0.9348
5.01,62.3,1.0193
6.01,81.97,1.0915
7.01,84.61,1.1268
8.01,85.29,1.2134
9.02,82.98,1.3335
10.02,77.17,1.4427
11.02,54.89,1.5575
12.02,84.41,1.69
13.02,76.27,1.9468
14.02,79.68,2.1508
15.02,88.63,2.2919
16.02,83.76,2.5186
17.03,81.75,2.8302
18.03,79.17,3.1587
19.03,79.67,3.4051
20.03,74.48,3.818
21.03,76.61,4.1328
22.03,76.24,4.4768
23.04,78.0,4.8226
24.04,75.8,5.243
25.04,76.41,5.6409
26.04,79.45,5.8948
27.04,78.04,6.1631
28.04,57.89,1.7803
29.04,81.45,2.0286
30.04,85.88,2.1737
31.05,87.25,2.3245
32.05,77.63,2.5294
33.05,81.21,2.8252
34.05,79.44,3.1466
35.05,79.44,3.3558
36.05,77.58,3.6318
37.06,76.42,3.9093
38.06,76.75,4.1846
39.06,77.32,4.5164
40.06,75.39,4.8434
41.06,76.52,5.2498
42.06,76.13,5.6416
43.07,79.26,5.8977
44.07,76.81,6.1612
45.07,56.75,1.7761
46.07,82.48,1.9879
47.07,76.72,1.7853
48.07,80.25,2.0186
49.07,82.65,1.7039
50.07,77.71,2.0168
51.08,81.93,2.1906
52.08,84.83,2.3407
53.08,76.13,2.5192
54.08,67.27,1.7999
55.08,80.95,1.9789
56.08,87.95,2.1575
57.08,66.04,1.8205
58.08,77.37,1.9839
59.09,85.43,2.2154
60.09,82.08,1.6944
61.09,74.1,1.9904
62.09,80.55,2.106
63.09,69.4,1.9328
64.09,87.11,2.121
65.09,68.75,1.9398
66.1,76.3,2.0873
67.1,77.95,1.9433
68.1,76.18,2.1122
69.1,82.83,2.2293
70.1,67.49,2.0966
71.1,82.34,2.2223
72.1,75.47,1.948
73.1,76.11,2.1335
74.11,82.59,2.2358
75.11,85.65,2.4613
76.11,66.67,1.9599
77.11,74.21,2.1402
78.11,89.31,2.264
79.11,85.4,2.4854
80.11,66.53,2.0298
81.12,78.38,2.178
82.12,91.01,2.3651
83.12,76.69,1.9389
84.12,73.4,2.1172
85.12,79.83,2.2154
86.12,85.59,2.4367
87.12,61.92,1.9878
88.12,79.03,2.1528
