Time_Sec,CPU_Percent_Total,Memory_GB
1.0,201.97,0.1711
2.0,249.46,0.3755
3.0,223.57,0.5345
4.01,307.44,0.7784
5.01,260.2,0.8516
6.01,327.43,0.9877
7.01,326.98,1.0544
8.01,342.68,1.1499
9.01,276.18,1.2733
10.01,305.35,1.3648
11.02,251.33,1.3899
12.02,273.32,1.5316
13.02,337.09,1.7065
14.02,327.42,1.8676
15.02,327.19,1.9914
16.02,331.07,2.2167
17.02,299.24,1.6131
18.03,281.14,1.8153
19.03,321.58,2.1176
20.03,333.89,2.2821
21.03,351.86,2.4886
22.03,321.57,2.7958
23.03,338.01,2.973
24.03,311.93,3.1527
25.04,313.65,3.3273
26.04,307.77,3.533
27.04,312.57,3.827
28.04,312.09,4.0843
29.04,305.74,4.4128
30.04,309.36,4.7052
31.05,302.22,4.9568
32.05,310.35,5.1468
33.05,315.7,5.408
34.05,279.73,5.8158
35.05,254.23,5.965
36.05,188.98,6.1
37.05,256.92,6.2531
38.05,299.21,6.86
39.06,157.13,7.0346
40.06,136.42,7.0599
41.06,111.04,1.7547
42.06,307.79,1.9455
43.06,306.83,2.0594
44.06,248.86,2.1833
45.06,287.18,1.9437
46.07,361.43,2.0858
47.07,279.75,1.8975
48.07,324.16,2.013
49.07,294.68,1.7809
50.07,335.92,1.9783
51.07,274.11,1.7656
52.07,315.93,1.9577
53.08,348.91,1.6941
54.08,291.93,1.9324
55.08,286.03,2.0192
56.08,334.69,1.755
57.08,296.98,1.9504
58.08,333.33,2.0662
59.08,287.62,1.8022
60.08,345.78,2.1754
61.09,306.07,2.6033
62.09,346.14,2.7574
63.09,359.37,2.9565
64.09,322.01,3.1165
65.09,310.76,3.2936
66.09,303.49,3.4968
67.09,296.32,3.657
68.1,308.59,3.8076
69.1,308.58,3.9657
70.1,303.55,4.1572
71.1,288.2,4.3857
72.1,297.92,4.5538
73.1,306.59,4.8154
74.11,301.23,5.1073
75.11,298.88,5.3096
76.11,311.17,5.5901
77.11,304.2,5.7731
78.11,304.89,5.9739
79.11,304.7,6.1895
80.11,289.49,6.3493
81.11,239.72,6.5544
82.12,234.56,6.9232
83.12,158.26,6.9234
84.12,171.59,6.9234
85.12,154.21,6.9235
86.12,182.84,7.0237
87.12,111.54,7.0237
88.12,174.26,7.0237
89.13,117.05,7.1239
90.13,129.99,7.1239
91.13,104.32,7.1238
92.13,140.84,7.1238
93.13,141.96,7.1238
94.13,107.95,7.1238
95.13,125.17,7.1238
96.14,105.02,7.1238
97.14,103.69,7.1238
98.14,104.31,7.1237
99.14,133.97,7.1237
100.14,118.98,7.1239
101.14,114.72,7.1238
102.15,168.86,7.444
103.15,140.75,7.7099
104.15,102.08,7.7098
105.15,105.93,7.7098
106.15,116.68,7.71
107.15,112.91,7.71
108.15,138.06,7.7101
109.16,102.53,7.71
110.16,286.7,6.3688
111.16,158.84,1.8057
112.16,333.92,2.1361
113.16,307.94,2.5489
114.16,328.95,2.7082
115.16,355.21,2.8934
116.17,325.36,3.0043
117.17,315.05,3.142
118.17,311.22,3.2774
119.17,300.22,3.4784
120.17,299.24,3.6489
121.17,311.3,3.8312
122.17,304.44,4.008
123.18,307.73,4.1984
124.18,240.07,4.397
125.18,290.77,4.571
126.18,308.87,4.8128
127.18,299.25,5.0418
128.18,233.15,5.2302
129.18,303.71,5.5536
130.19,279.34,5.7478
131.19,212.56,6.0036
132.19,126.73,6.2367
133.19,151.38,6.4396
134.19,150.7,6.6503
135.19,218.45,7.0302
136.19,212.06,7.0302
137.2,176.83,7.0303
138.2,167.17,7.1304
139.2,125.97,7.1304
140.2,125.14,7.1303
141.2,187.52,7.1303
142.2,220.26,7.1303
143.2,255.15,7.1314
144.21,191.52,7.1314
145.21,105.88,7.1314
146.21,125.32,7.1314
147.21,108.09,7.1317
148.21,121.97,7.1317
149.21,148.11,7.1317
150.22,118.04,7.1317
151.22,127.1,7.1318
152.22,102.55,7.1318
153.22,207.85,7.6182
154.22,110.68,7.7184
155.22,125.07,7.7184
156.22,107.64,7.7184
157.23,125.96,7.7184
158.23,127.96,7.7185
159.23,198.63,7.7187
160.23,237.28,3.5804
161.23,241.21,1.8807
162.23,323.33,2.1952
163.23,302.17,2.5654
164.24,295.63,2.6852
165.24,351.59,2.8867
166.24,326.53,3.0518
167.24,319.99,3.2293
168.24,316.54,3.434
169.24,288.83,3.6133
170.24,305.98,3.786
171.25,306.99,3.9605
172.25,304.59,4.1603
173.25,293.19,4.3905
174.25,308.13,4.5721
175.25,303.44,4.859
176.25,305.95,5.1232
177.25,283.53,5.3997
178.25,311.15,5.6409
179.26,303.31,5.8561
180.26,291.44,6.0683
181.26,281.52,6.2686
182.26,255.64,6.4499
183.26,300.68,6.9292
184.26,180.23,6.9823
185.27,158.68,6.9823
186.27,187.52,6.9823
187.27,191.16,6.9824
188.27,129.72,7.0283
189.27,125.42,7.0825
190.27,135.76,7.0826
191.27,134.02,7.1698
192.27,136.15,7.17
193.28,118.05,7.17
194.28,135.32,7.17
195.28,118.34,7.17
196.28,128.42,7.17
197.28,112.84,7.17
198.28,105.73,7.17
199.29,102.78,7.1699
200.29,114.63,7.1698
201.29,133.66,7.1698
202.29,131.91,7.1699
203.29,103.07,7.1699
204.29,170.93,7.5305
205.29,137.85,7.7062
206.3,101.56,7.7062
207.3,108.4,7.7061
208.3,137.05,7.7061
209.3,132.79,7.7061
210.3,120.62,7.706
211.3,217.59,7.7064
212.31,145.42,1.7903
213.31,339.52,2.1084
214.31,305.37,2.5277
215.31,340.71,2.6915
216.31,351.25,2.8854
217.31,334.55,3.0208
218.31,285.62,3.1537
219.31,308.4,3.2974
220.32,305.66,3.4947
221.32,279.11,3.6435
222.32,306.3,3.8089
223.32,309.85,3.943
224.32,301.01,4.0616
225.32,276.72,4.2356
226.32,301.44,4.4056
227.33,307.15,4.5811
228.33,302.6,4.8363
229.33,302.68,5.1108
230.33,300.55,5.328
231.33,311.47,5.5906
232.33,309.89,5.7674
233.33,300.69,5.9759
234.33,229.87,6.186
235.34,152.82,6.3612
236.34,148.42,6.5612
237.34,178.53,6.888
238.34,209.96,7.0337
239.34,181.15,7.0336
240.34,185.31,7.0338
241.35,161.74,7.0525
242.35,138.14,7.1338
243.35,136.6,7.134
244.35,138.2,7.134
245.35,150.26,7.134
246.35,161.95,7.1339
247.35,143.37,7.1339
248.35,120.19,7.1339
249.36,123.37,7.134
250.36,122.57,7.1341
251.36,105.52,7.1341
252.36,107.53,7.1341
253.36,122.73,7.1341
254.36,105.75,7.134
255.37,102.62,7.134
256.37,102.37,7.134
257.37,101.33,7.134
258.37,207.84,7.6689
259.37,107.99,7.7226
260.37,151.92,7.7226
261.37,103.08,7.7226
262.38,140.74,7.7226
263.38,102.46,7.7226
264.38,202.9,7.7229
265.38,181.16,1.6921
266.38,281.82,1.9313
267.38,314.59,2.2571
268.38,304.43,2.6111
269.39,363.58,2.7791
270.39,352.6,2.9702
271.39,314.65,3.1409
272.39,316.84,3.3443
273.39,284.64,3.5137
274.39,302.62,3.6654
275.39,309.14,3.829
276.39,314.02,3.996
277.4,305.42,4.1952
278.4,276.45,4.423
279.4,313.65,4.6603
280.4,304.5,4.9604
281.4,300.55,5.1401
282.4,300.49,5.4675
283.4,310.56,5.685
284.41,272.78,5.902
285.41,214.94,6.1289
286.41,201.56,6.3221
287.41,242.02,6.5435
288.41,210.16,6.8393
289.41,195.99,7.0796
290.41,169.41,7.0796
291.41,184.12,7.0796
292.42,151.64,7.0796
293.42,146.57,7.0796
294.42,125.14,7.0796
295.42,202.02,7.0798
296.42,229.76,7.18
297.42,212.94,7.1803
298.43,131.79,7.1804
299.43,103.84,7.1804
300.43,115.62,7.1804
301.43,101.87,7.1804
302.43,104.81,7.1804
303.43,118.99,7.1804
304.43,165.6,7.1804
305.44,125.37,7.1805
306.44,117.31,7.1805
307.44,125.04,7.1805
308.44,122.85,7.1805
309.44,199.92,7.712
310.44,106.43,7.7218
311.45,124.95,7.7218
312.45,124.78,7.7218
313.45,142.06,7.722
314.45,174.72,7.722
315.45,187.52,1.7646
316.45,307.2,1.9439
317.45,309.59,2.2486
318.46,249.14,2.6036
319.46,315.55,2.7576
320.46,349.7,2.9654
321.46,323.73,3.1232
322.46,313.31,3.265
323.46,312.34,3.4378
324.46,311.26,3.6019
325.47,304.46,3.744
326.47,308.25,3.9089
327.47,305.41,4.0665
328.47,237.73,4.2623
329.47,295.2,4.4308
330.47,310.33,4.6026
331.47,301.77,4.8274
332.47,302.81,5.0635
333.48,242.68,5.2371
334.48,305.93,5.5422
335.48,314.06,5.7372
336.48,278.89,5.9204
337.48,256.23,6.123
338.48,147.48,6.2626
339.48,199.91,6.4074
340.49,183.34,6.5742
341.49,229.61,6.9344
342.49,144.9,6.9344
343.49,166.52,6.9344
344.49,160.45,6.9814
345.49,134.72,7.0347
346.49,211.49,7.03
347.5,137.85,7.0301
348.5,187.31,7.0302
349.5,253.32,7.1304
350.5,231.07,7.1304
351.5,229.11,7.1306
352.5,105.65,7.1305
353.5,115.36,7.1306
354.51,101.35,7.1305
355.51,104.49,7.1307
356.51,115.96,7.1307
357.51,104.67,7.1307
358.51,122.17,7.1308
359.51,124.19,7.1309
360.52,102.35,7.1309
361.52,203.05,7.6884
362.52,109.81,7.7134
363.52,104.27,7.7135
364.52,125.58,7.7135
365.52,103.76,7.7135
366.52,121.68,7.7136
367.53,156.87,7.7137
368.53,217.52,3.4656
369.53,242.91,1.8787
370.53,326.41,2.2321
371.53,307.64,2.6206
372.53,350.78,2.7681
373.53,357.15,2.975
374.54,319.8,3.1035
375.54,318.87,3.26
376.54,314.72,3.4433
377.54,296.08,3.5895
378.54,306.73,3.7217
379.54,307.14,3.861
380.54,304.07,3.9825
381.54,303.48,4.1157
382.55,246.43,4.3937
383.55,276.81,4.5856
384.55,304.04,4.8761
385.55,275.43,5.1254
386.55,247.74,5.3991
387.55,311.26,5.6394
388.55,281.58,5.8575
389.56,225.88,6.0814
390.56,194.82,6.2777
391.56,157.72,6.4605
392.56,118.94,6.6568
393.56,214.0,7.0599
394.56,165.03,7.0863
395.56,213.29,7.0867
396.57,132.44,7.0867
397.57,178.82,7.087
398.57,144.15,7.087
399.57,171.67,7.087
400.57,234.28,7.087
401.57,195.21,7.1875
402.57,254.89,7.1876
403.58,106.59,7.1877
404.58,134.5,7.1877
405.58,106.29,7.1877
406.58,102.95,7.1877
407.58,107.22,7.1877
408.58,131.63,7.1876
409.59,111.88,7.1876
410.59,128.46,7.1877
