Time_Sec,CPU_Percent_Total,Memory_GB
1.0,54.56,1.3935
2.0,62.42,1.6008
3.01,53.64,1.7493
4.01,79.91,1.9926
5.01,62.14,2.0653
6.01,78.55,2.1498
7.01,84.12,2.1757
8.01,85.16,2.2936
9.02,80.52,2.4109
10.02,78.29,2.4967
11.02,73.11,2.6224
12.02,86.4,2.7322
13.02,77.05,2.9378
14.02,77.38,3.0857
15.02,82.12,3.3388
16.03,74.6,2.7588
17.03,75.68,3.0123
18.03,80.29,3.3395
19.03,88.8,3.5121
20.03,85.71,3.7907
21.03,83.96,4.0263
22.03,79.97,4.1875
23.04,78.04,4.3454
24.04,75.84,4.5203
25.04,76.54,4.7662
26.04,76.22,5.1055
27.04,75.69,5.4254
28.04,76.1,5.7287
29.04,76.09,6.0002
30.05,76.41,6.1886
31.05,76.56,6.4018
32.05,78.64,6.6894
33.05,65.98,6.8518
34.05,60.54,7.0348
35.05,33.69,7.1942
36.05,25.57,7.3603
37.06,42.13,7.5936
38.06,55.68,8.121
39.06,39.8,8.1423
40.06,35.11,8.1675
41.06,25.79,5.5525
42.06,63.87,3.0723
43.07,81.36,3.1805
44.07,54.3,3.2398
45.07,49.07,2.9154
46.07,75.11,3.0937
47.07,88.29,3.221
48.07,58.49,2.9767
49.07,79.56,3.1376
50.08,81.11,3.1509
51.08,69.09,3.0753
52.08,80.3,3.1746
53.08,67.98,2.9501
54.08,76.49,3.1105
55.08,83.1,2.9093
56.08,77.36,3.1081
57.09,91.35,3.2549
58.09,69.94,2.9558
59.09,85.96,3.1307
60.09,90.75,3.267
61.09,70.36,3.0559
62.09,79.14,3.3947
63.09,76.66,3.7641
64.09,81.65,3.8642
65.1,88.51,4.0699
66.1,80.89,4.2235
67.1,75.23,4.3743
68.1,70.66,4.5257
69.1,74.53,4.6774
70.1,78.48,4.8402
71.1,76.61,5.001
72.11,76.51,5.1617
73.11,76.95,5.3639
74.11,75.57,5.5623
75.11,77.95,5.7946
76.11,76.08,6.0997
77.11,75.42,6.3079
78.12,75.55,6.6343
79.12,76.28,6.8576
80.12,76.67,7.0767
81.12,71.2,7.3168
82.12,56.44,7.5278
83.13,50.07,7.7385
84.13,65.66,8.1909
85.13,31.21,8.1928
86.13,43.73,8.1928
87.13,35.68,8.1928
88.13,33.32,8.2588
89.13,38.53,8.2932
90.14,34.67,8.2932
91.14,41.1,8.2884
92.14,33.09,8.2884
93.14,26.1,8.2884
94.14,28.78,8.2884
95.14,34.36,8.2884
96.15,26.25,8.2884
97.15,29.37,8.2884
98.15,25.4,8.2884
99.15,26.08,8.2884
100.15,26.2,8.2884
101.15,34.37,8.2884
102.16,28.08,8.2884
103.16,29.45,8.2884
104.16,27.25,8.2884
105.16,55.08,8.7965
106.16,25.96,8.876
107.16,25.95,8.876
108.17,30.61,8.8762
109.17,25.46,8.8762
110.17,30.06,8.8762
111.17,46.67,8.8762
112.17,44.31,2.9439
113.17,85.32,3.2255
114.18,75.89,3.5935
115.18,74.32,3.8017
116.18,88.65,3.9738
117.18,85.37,4.1213
118.18,74.23,4.1976
119.18,69.74,4.3061
120.18,76.27,4.4263
121.19,72.69,4.5687
122.19,68.88,4.6863
123.19,76.76,4.8533
124.19,76.77,5.018
125.19,76.24,5.1617
126.19,75.03,5.3465
127.2,75.14,5.556
128.2,77.07,5.7758
129.2,75.92,6.0597
130.2,75.44,6.2859
131.2,70.25,6.5758
132.2,49.87,6.8247
133.2,40.93,7.0542
134.2,38.08,7.3144
135.21,27.52,7.5094
136.21,38.22,7.7301
137.21,54.34,8.1805
138.21,40.72,8.2326
139.21,48.05,8.2326
140.21,41.61,8.2326
141.22,33.92,8.3322
142.22,26.65,8.3328
143.22,33.78,8.3328
144.22,28.51,8.3327
145.22,44.66,8.3327
146.22,50.23,8.3327
147.23,37.71,8.3327
148.23,25.84,8.3328
149.23,25.72,8.3327
150.23,28.07,8.3327
151.23,25.76,8.3327
152.23,26.55,8.3328
153.23,49.21,8.3329
154.24,39.11,8.3349
155.24,29.57,8.3349
156.24,28.43,8.3349
157.24,26.75,8.3349
158.24,30.04,8.3347
159.24,47.58,8.8602
160.24,38.77,8.8769
161.25,26.11,8.8769
162.25,27.66,8.8769
163.25,32.9,8.8769
164.25,25.63,8.8769
165.25,70.78,8.8804
166.25,48.77,2.9547
167.26,83.68,3.2272
168.26,77.77,3.5756
169.26,78.18,3.8151
170.26,87.67,3.9724
171.26,86.75,4.1246
172.26,79.1,4.2684
173.26,75.9,4.4422
174.27,78.83,4.6601
175.27,76.85,4.8082
176.27,77.44,4.9845
177.27,76.84,5.1611
178.27,76.78,5.3719
179.27,66.84,5.6077
180.28,78.06,5.842
181.28,75.62,6.1563
182.28,75.51,6.3904
183.28,75.84,6.7283
184.28,77.12,6.9458
185.28,56.5,7.1987
186.29,55.37,7.4179
187.29,76.88,7.6085
188.29,42.9,7.8181
189.29,53.69,8.2307
190.29,45.2,8.256
191.29,46.47,8.256
192.3,33.35,8.256
193.3,37.27,8.3562
194.3,31.8,8.3562
195.3,31.15,8.3562
196.3,41.38,8.3562
197.3,57.36,8.3561
198.3,44.41,8.3561
199.31,26.58,8.3561
200.31,31.17,8.3561
201.31,26.23,8.3562
202.31,26.82,8.3562
203.31,29.54,8.3562
204.31,29.12,8.3562
205.32,32.13,8.3562
206.32,25.93,8.3562
207.32,25.93,8.3562
208.32,52.13,8.8505
209.32,25.77,8.8986
210.32,28.08,8.8987
211.32,35.75,8.8987
212.33,33.0,8.8988
213.33,25.67,8.8988
214.33,57.63,8.4053
215.33,40.16,2.9754
216.33,83.79,3.2784
217.33,77.48,3.6439
218.34,81.45,3.8466
219.34,89.32,4.0566
220.34,83.08,4.1768
221.34,78.59,4.3364
222.34,77.84,4.5136
223.34,77.06,4.7016
224.34,78.71,4.8769
225.35,77.06,5.0559
226.35,75.99,5.2176
227.35,66.03,5.4593
228.35,77.43,5.6768
229.35,76.56,5.9559
230.35,76.29,6.1857
231.36,62.51,6.312
232.36,66.94,6.5797
233.36,60.08,6.8023
234.36,48.42,6.9941
235.36,35.27,7.2449
236.36,27.91,7.4682
237.37,34.94,7.6993
238.37,53.59,8.0924
239.37,32.76,8.0954
240.37,35.66,8.0954
241.37,39.94,8.0956
242.37,43.19,8.1377
243.38,47.55,8.1958
244.38,52.72,8.1957
245.38,33.77,8.1958
246.38,62.94,8.1958
247.38,43.49,8.1958
248.38,37.82,8.1958
249.38,26.22,8.296
250.39,29.58,8.296
251.39,26.21,8.2962
252.39,35.36,8.2962
253.39,38.06,8.2962
254.39,40.51,8.2962
255.39,27.83,8.2962
256.4,34.21,8.2962
257.4,29.57,8.2962
258.4,45.1,8.7059
259.4,36.16,8.8796
260.4,25.6,8.8796
261.4,38.96,8.8797
262.41,29.41,8.8799
263.41,33.26,8.8799
264.41,29.22,8.8799
265.41,38.04,8.8799
266.41,55.88,3.3006
267.41,71.79,3.1447
268.42,80.09,3.5514
269.42,75.53,3.8169
270.42,90.43,3.9995
271.42,85.44,4.1323
272.42,77.2,4.2098
273.42,79.15,4.3708
274.42,80.07,4.5781
275.43,77.41,4.7551
276.43,77.58,4.9355
277.43,77.03,5.1008
278.43,76.18,5.2788
279.43,74.12,5.553
280.43,77.2,5.7334
281.44,75.72,6.015
282.44,75.47,6.2925
283.44,72.87,6.5715
284.44,75.94,6.8335
285.44,74.87,7.0548
286.44,75.82,7.306
287.45,72.18,7.5093
288.45,66.04,7.7278
289.45,64.63,8.1719
290.45,43.91,8.2538
291.45,49.22,8.2539
292.45,44.72,8.2541
293.45,36.79,8.3519
294.46,29.79,8.3543
295.46,33.14,8.3543
296.46,45.57,8.3543
297.46,36.64,8.3543
298.46,41.33,8.3543
299.46,27.47,8.3543
300.46,33.87,8.3543
301.47,28.25,8.3543
302.47,26.24,8.3543
303.47,29.98,8.3543
304.47,28.57,8.3543
305.47,30.92,8.3543
306.47,35.3,8.3543
307.48,27.41,8.3543
308.48,29.41,8.3543
309.48,53.74,8.8509
310.48,25.27,8.899
311.48,26.09,8.8979
312.48,33.06,8.8979
313.49,32.96,8.8979
314.49,30.58,8.8979
315.49,51.04,8.8979
316.49,46.53,2.9406
317.49,80.12,3.1808
318.49,77.34,3.5413
319.49,76.82,3.8019
320.5,85.84,3.9567
321.5,86.07,4.109
322.5,78.46,4.2175
323.5,68.61,4.3369
324.5,77.6,4.4646
325.5,72.88,4.6553
326.5,76.61,4.811
327.51,76.77,4.9789
