Time_Sec,CPU_Percent_Total,Memory_GB
1.0,207.67,0.182
2.0,250.54,0.3892
3.01,234.81,0.556
4.01,319.45,0.7852
5.01,292.93,0.901
6.01,338.54,0.9861
7.01,340.98,1.097
8.01,289.71,1.2187
9.01,262.24,1.3083
10.01,203.59,1.4289
11.02,297.84,1.6363
12.02,331.58,1.9593
13.02,315.91,2.0838
14.02,330.03,2.297
15.02,329.43,2.6782
16.02,324.09,3.0663
17.02,310.83,3.3819
18.03,310.54,3.7502
19.03,307.35,4.095
20.03,307.98,4.4438
21.03,290.6,4.8012
22.03,303.88,5.2228
23.03,311.18,5.5621
24.03,312.58,5.7992
25.04,306.01,6.075
26.04,215.75,1.6567
27.04,332.42,1.976
28.04,341.62,2.1236
29.04,332.19,2.3632
30.04,325.03,2.7631
31.04,322.97,3.1216
32.04,304.64,3.4364
33.05,308.31,3.7229
34.05,306.9,3.9936
35.05,305.85,4.2558
36.05,304.67,4.5255
37.05,303.51,4.8552
38.05,301.66,5.2087
39.05,311.14,5.5567
40.06,313.65,5.8033
41.06,306.15,6.0809
42.06,219.74,1.663
43.06,337.83,1.8594
44.06,292.55,1.6715
45.06,347.21,1.8951
46.06,299.71,1.6408
47.06,345.73,1.9677
48.07,345.31,2.0959
49.07,316.66,2.2703
50.07,293.15,1.5572
51.07,292.18,1.7953
52.07,351.86,1.9062
53.07,320.6,1.541
54.07,287.11,1.7999
55.08,341.41,2.0233
56.08,331.75,2.2376
57.08,185.11,1.725
58.08,307.9,1.8858
59.08,340.6,1.6293
60.08,285.5,1.8872
61.08,354.06,1.9903
62.08,280.55,1.9193
63.09,348.21,2.0603
64.09,215.63,1.9066
65.09,302.99,2.0465
66.09,267.0,1.8537
67.09,344.6,2.0559
68.09,358.95,2.2238
69.09,259.82,1.9071
70.09,310.31,2.0617
71.1,361.14,2.2375
72.1,333.68,2.4478
73.1,230.88,2.7521
74.1,165.37,3.0663
75.1,181.43,1.8607
76.1,299.76,2.0357
77.1,358.32,2.1876
78.11,344.12,2.4076
79.11,260.59,1.9568
80.11,310.8,2.0734
81.11,360.95,2.275
82.11,329.03,2.5415
83.11,177.29,1.8454
84.11,292.65,2.0032
85.11,363.13,2.1464
86.12,334.66,2.3394
87.12,238.31,2.4838
88.12,153.04,1.8751
89.12,282.05,2.0137
90.12,371.73,2.1736
91.12,272.14,1.9255
92.12,323.93,2.0713
93.12,302.14,1.8333
94.13,301.34,1.9977
95.13,363.76,2.1272
96.13,273.14,1.8864
97.13,329.18,2.172
98.13,363.98,2.2907
99.13,335.41,2.4627
100.13,231.19,2.7651
101.13,199.94,3.1631
102.14,150.22,3.5747
103.14,288.9,3.9893
104.14,194.58,4.4126
105.14,102.57,4.8195
106.14,107.5,5.2063
107.14,141.41,5.5961
108.14,164.56,6.0198
109.15,258.0,6.4116
110.15,241.23,6.8432
111.15,153.07,1.8566
112.15,335.01,2.1344
113.15,340.19,2.2442
114.15,346.1,2.4101
115.15,304.31,2.7205
116.15,158.4,3.131
117.16,154.67,3.5527
118.16,126.84,3.9768
119.16,143.31,4.3903
120.16,110.34,4.7908
121.16,185.3,5.1817
122.16,210.3,5.5829
123.16,132.35,6.0032
124.17,141.99,6.4366
125.17,130.09,6.86
126.17,169.13,6.8999
127.17,145.39,7.0003
128.17,100.97,7.0003
129.17,100.97,7.0003
130.17,128.15,7.0003
131.18,102.66,7.0003
132.18,101.35,7.0003
133.18,101.65,7.0003
134.18,100.78,7.0003
135.18,101.16,7.0003
136.18,118.18,7.1371
137.19,101.27,7.1371
138.19,100.99,7.1371
139.19,108.18,7.1371
140.19,101.09,7.1371
141.19,100.74,7.1371
142.19,100.92,7.1371
143.19,121.1,7.1371
144.2,101.22,7.1371
145.2,100.8,7.1371
146.2,119.16,7.1373
147.2,106.98,7.1373
148.2,100.68,7.1373
149.2,123.32,7.1373
150.2,183.41,7.1373
151.2,285.09,6.1627
152.21,221.69,1.9455
153.21,317.57,2.2037
154.21,348.21,2.3095
