Time_Sec,CPU_Percent_Total,Memory_GB
1.0,219.92,0.3467
2.0,256.08,0.5555
3.01,239.86,0.723
4.01,308.19,0.9444
5.01,276.69,1.0075
6.01,322.27,1.0795
7.01,333.62,1.1937
8.01,343.07,1.2902
9.01,306.51,1.4081
10.01,292.57,1.4632
11.02,318.39,1.6318
12.02,345.02,1.7966
13.02,349.43,2.047
14.02,331.04,2.1732
15.02,358.25,2.3025
16.02,332.91,2.4796
17.02,325.62,2.7913
18.03,322.23,3.1113
19.03,323.6,3.357
20.03,309.99,3.6323
21.03,305.11,3.9182
22.03,306.56,4.1869
23.03,305.78,4.4491
24.03,307.1,4.748
25.03,311.45,5.1658
26.04,306.78,5.5514
27.04,322.2,5.8356
28.04,306.41,6.1055
29.04,269.06,2.9398
30.04,290.26,1.9748
31.04,344.19,2.1708
32.04,348.34,2.3612
33.05,334.95,2.6416
34.05,321.83,3.0309
35.05,321.21,3.35
36.05,279.97,3.7221
37.05,306.11,4.0478
38.05,305.94,4.3813
39.05,305.68,4.7162
40.06,305.65,5.1181
41.06,305.88,5.5065
42.06,313.86,5.8134
43.06,314.46,6.0811
44.06,287.34,4.388
45.06,237.81,1.8676
46.06,326.57,2.003
47.07,299.6,1.8235
48.07,354.91,2.062
49.07,300.19,1.7858
50.07,343.0,2.1345
51.07,362.86,2.2874
52.07,325.61,2.4646
53.07,270.49,1.7601
54.07,307.15,1.9606
55.08,365.61,2.1419
56.08,258.51,1.8144
57.08,305.28,1.9666
58.08,339.46,2.198
59.08,328.76,2.2709
60.08,259.26,1.9208
61.08,327.76,2.0626
62.08,274.58,1.8648
63.09,308.45,2.0325
64.09,359.7,2.1638
65.09,252.36,1.9783
66.09,319.6,2.1163
67.09,284.7,1.9481
68.09,324.66,2.1189
69.09,334.02,1.8708
70.09,296.81,2.1152
71.09,330.98,2.2394
72.1,287.62,1.9504
73.1,317.04,2.1429
74.1,363.53,2.2989
75.1,337.49,2.5235
76.1,264.72,2.0056
77.1,350.85,2.1836
78.1,368.54,2.3472
79.11,311.82,1.8664
80.11,280.03,2.0894
81.11,361.26,2.2202
82.11,352.37,2.4126
83.11,286.58,1.946
84.11,293.29,2.1133
85.11,341.53,2.2249
86.11,337.59,2.4327
87.12,215.42,1.9579
88.12,309.77,2.1278
89.12,372.99,2.2868
90.12,270.51,2.0254
91.12,325.55,2.1758
92.12,315.57,1.9364
93.12,293.08,2.1024
94.13,339.96,2.2364
95.13,273.27,1.9888
96.13,334.81,2.2729
97.13,357.89,2.3786
98.13,348.36,2.549
99.13,239.27,1.9626
100.13,342.93,2.2368
101.13,357.94,2.3413
102.14,351.95,2.5144
103.14,299.61,1.9282
104.14,306.97,2.2024
105.14,354.72,2.3854
106.14,356.74,2.5635
107.14,342.97,2.7929
108.14,318.0,3.0306
109.15,248.69,1.9566
110.15,328.19,2.1784
111.15,355.8,2.3062
112.15,264.92,2.0339
113.15,323.66,2.2078
114.15,324.05,1.94
115.15,302.33,2.1177
116.15,318.84,2.2192
117.16,277.17,2.0219
118.16,319.53,2.1764
119.16,294.37,1.9629
120.16,293.05,2.13
121.16,329.74,1.9479
122.16,304.28,2.1258
123.16,348.82,1.8782
124.16,293.21,2.1163
125.17,305.52,1.9563
126.17,301.05,2.1244
127.17,267.67,1.9695
128.17,332.17,2.2241
129.17,322.58,2.4022
130.17,361.39,2.5276
131.17,264.46,1.9791
132.18,341.38,2.2219
133.18,335.46,2.3444
134.18,331.13,2.5925
135.18,342.0,2.8586
136.18,270.1,2.0729
137.18,327.96,2.3332
138.18,364.12,2.6004
139.19,334.73,2.9503
140.19,310.8,3.3021
141.19,307.17,3.6471
142.19,303.5,3.99
143.19,304.27,4.3261
144.19,304.51,4.7033
145.19,303.92,5.0899
146.19,306.7,5.4338
147.2,302.27,5.7464
148.2,302.14,6.0726
149.2,305.22,6.4189
150.2,303.74,6.8387
151.2,323.75,7.0575
152.2,221.04,7.0581
