Time_Sec,CPU_Percent,Memory_GB
247.17,100.5,8.6116
248.18,100.5,8.6116
249.18,101.5,8.6116
250.19,100.5,8.6116
251.19,100.5,8.6116
252.2,100.5,8.6116
253.2,101.6,8.6116
254.21,100.5,8.6116
255.21,101.5,8.6116
256.22,102.5,8.6116
257.22,101.6,8.6116
258.23,102.5,8.6116
259.23,100.5,8.6116
260.24,102.5,8.6116
261.24,101.5,8.6116
262.25,100.5,8.6116
263.25,101.4,8.6116
264.26,100.5,8.6116
265.26,100.5,8.6116
266.27,102.5,8.6116
267.28,100.5,8.6118
268.28,101.5,8.6118
269.29,99.5,8.6118
270.29,101.5,8.6118
271.3,99.5,8.6118
272.3,101.5,8.6118
273.31,101.5,8.6118
274.31,100.5,8.6118
275.32,100.5,8.6118
276.32,102.5,8.612
277.33,101.5,8.612
278.33,99.5,8.612
279.34,100.5,8.612
280.34,100.5,8.612
281.35,102.5,8.612
282.35,100.5,8.612
283.36,100.5,8.612
284.36,100.6,8.612
285.37,101.5,8.612
286.37,101.5,8.6121
287.38,101.5,8.6121
288.38,100.5,8.6121
289.39,100.5,8.6121
290.39,100.5,8.6121
291.4,100.5,8.6121
292.4,101.5,8.6121
293.41,99.5,8.6121
294.41,102.5,8.6121
295.42,101.5,8.6121
296.43,104.5,8.6124
297.43,100.5,8.6124
298.44,100.5,8.6124
299.44,101.5,8.6124
300.45,100.5,8.6124
301.45,100.5,8.6124
302.46,102.6,8.6125
303.46,100.5,8.6125
304.47,100.5,8.6125
305.47,99.5,8.6125
306.48,101.5,8.6125
307.48,101.5,8.6125
308.49,100.5,8.6125
309.49,102.5,8.6125
310.5,101.5,8.6125
311.5,99.5,8.6125
312.51,101.5,8.6125
313.51,100.5,8.6125
314.52,101.5,8.6125
315.52,99.5,8.6125
316.53,101.5,8.6125
317.53,101.5,8.6125
318.54,100.5,8.6126
319.54,102.5,8.6126
320.55,99.5,8.6126
321.55,101.5,8.6126
322.56,99.5,8.6126
323.56,102.5,8.6126
324.57,102.5,8.6126
325.57,100.5,8.6126
326.58,100.5,8.6126
327.58,99.6,8.6126
328.59,102.5,8.6127
329.59,101.5,8.6127
330.6,100.5,8.6127
331.6,100.5,8.6127
332.61,101.5,8.6127
333.61,101.5,8.6127
334.62,100.5,8.6127
335.62,101.5,8.6127
336.63,101.5,8.6127
337.63,99.5,8.6127
338.64,102.5,8.6127
339.65,100.5,8.6127
340.65,101.5,8.6918
341.66,100.5,8.692
342.66,101.6,8.692
343.66,100.5,8.692
344.67,101.5,8.692
345.68,100.5,8.692
346.68,100.4,8.692
347.69,101.5,8.692
348.69,102.5,8.692
349.7,100.5,8.692
350.7,99.5,8.692
351.71,101.5,8.692
352.71,101.5,8.692
353.72,102.5,8.692
354.72,99.5,8.692
355.73,102.5,8.692
356.73,100.5,8.692
357.74,100.5,8.692
