Time_Sec,CPU_Percent_Total,Memory_GB
1.0,237.23,0.4702
2.0,255.9,0.7104
3.0,287.74,0.9729
4.01,266.84,1.1969
5.01,331.1,1.3004
6.01,340.97,1.4044
7.01,340.66,1.5765
8.01,296.28,1.6497
9.01,280.34,1.7907
10.01,340.64,1.9926
11.02,336.86,2.2491
12.02,316.29,2.3911
13.02,351.66,2.5987
14.02,321.77,2.8512
15.02,312.7,3.1396
16.02,308.97,3.5374
17.02,305.18,3.9419
18.03,308.03,4.3971
19.03,303.16,4.8415
20.03,305.58,5.3657
21.03,302.83,5.8351
22.03,305.33,6.0287
23.03,283.26,2.1788
24.03,344.67,2.4315
25.03,356.65,2.7984
26.04,327.45,3.1872
27.04,311.96,3.5931
28.04,307.84,4.0596
29.04,303.38,4.5081
30.04,307.49,5.0102
31.04,302.41,5.5526
32.04,307.82,6.0634
33.05,227.03,1.9859
34.05,355.02,2.2337
35.05,284.57,2.037
36.05,336.88,2.2804
37.05,355.25,2.6274
38.05,323.99,3.0132
39.05,309.3,3.4014
40.05,310.22,2.9091
41.05,283.92,2.2258
42.06,352.37,2.4834
43.06,343.16,2.8614
44.06,319.41,3.2574
45.06,309.54,3.608
46.06,251.96,2.0305
47.06,356.64,2.2674
48.06,338.49,2.6764
49.07,277.51,3.2252
50.07,163.5,3.8416
51.07,138.34,3.3135
52.07,264.91,2.1275
53.07,296.01,2.2502
54.07,330.75,2.511
55.07,256.55,2.0399
56.08,294.86,2.2004
57.08,345.14,1.9523
58.08,285.82,2.2241
59.08,331.81,2.3358
60.08,258.29,2.1519
61.08,325.6,2.3009
62.08,280.14,2.1543
63.08,289.28,2.3086
64.09,329.33,2.1398
65.09,309.39,2.3473
66.09,313.26,2.4719
67.09,272.47,2.1786
68.09,314.61,2.3566
69.09,356.88,2.5348
70.09,327.29,2.7827
71.09,250.88,2.1993
72.09,310.25,2.3677
73.1,348.78,2.572
74.1,277.09,2.1386
75.1,302.81,2.3307
76.1,362.93,2.4569
77.1,323.12,2.6972
78.1,258.68,2.1762
79.1,307.51,2.3476
80.11,368.09,2.5319
81.11,313.13,2.1346
82.11,279.48,2.3121
83.11,340.32,2.4319
84.11,265.73,2.1775
85.11,308.99,2.3384
86.11,362.18,2.5352
87.11,286.4,2.3138
88.12,350.81,2.475
89.12,269.89,2.2069
90.12,324.47,2.4897
91.12,374.17,2.6513
92.12,329.0,3.0029
93.12,316.59,3.3203
94.12,304.91,3.6351
95.13,317.66,3.9232
96.13,219.86,4.3222
97.13,165.46,4.6845
98.13,104.06,5.0771
99.13,126.8,5.446
100.13,127.58,5.6409
101.13,233.51,5.9609
102.14,201.38,2.1889
103.14,334.05,2.4836
104.14,349.08,2.5981
105.14,336.99,2.9059
106.14,330.75,3.2187
107.14,310.21,3.541
108.14,309.0,3.8398
109.14,285.7,4.2978
110.15,219.67,4.8073
111.15,195.07,5.2203
112.15,227.34,5.3633
113.15,210.53,5.5261
114.15,162.12,2.1836
115.15,337.01,2.4931
116.15,339.47,2.612
117.15,360.81,2.9397
118.16,328.09,3.3624
119.16,304.18,3.8178
120.16,308.04,4.2873
121.16,308.45,4.7447
122.16,308.18,5.1679
123.16,298.98,5.6791
124.16,159.63,5.8826
125.17,195.0,2.2107
126.17,342.47,2.4235
127.17,333.91,2.1397
128.17,318.32,2.3872
129.17,354.23,2.2965
130.17,272.41,2.3287
131.17,315.54,2.4491
132.18,269.99,2.2597
133.18,340.97,2.4128
134.18,255.93,2.1934
135.18,318.08,2.3654
136.18,286.04,2.2166
137.18,313.36,2.3699
138.18,286.62,2.158
139.18,320.52,2.3367
140.19,297.32,2.1662
141.19,306.16,2.3239
142.19,272.82,2.1851
143.19,339.47,2.473
144.19,340.58,2.6379
145.19,355.31,2.8444
146.19,319.01,3.1509
147.2,310.19,3.5048
148.2,304.83,3.8428
149.2,307.88,4.13
150.2,304.9,4.3922
151.2,316.78,4.7198
152.2,291.58,5.042
153.2,168.62,5.1712
154.2,168.4,5.3175
155.21,266.11,5.3556
156.21,268.54,2.4024
157.21,353.9,2.6578
158.21,340.72,3.0475
159.21,290.41,2.3735
160.21,358.56,2.636
161.21,348.32,3.036
162.22,315.17,3.4625
163.22,310.92,3.8987
164.22,304.4,4.3401
165.22,303.8,4.7925
166.22,306.25,5.295
167.22,305.28,5.7204
168.22,304.14,6.1225
169.23,304.13,6.5247
170.23,306.09,7.0537
171.23,328.36,7.2666
172.23,191.73,7.3672
173.23,231.48,7.3674
174.23,283.79,7.3679
175.23,173.0,7.3679
176.24,220.91,7.3679
177.24,201.89,7.3879
178.24,144.39,7.3879
179.24,127.84,7.3735
180.24,136.55,7.5941
181.24,104.4,7.5941
182.24,102.42,7.5941
183.25,106.26,7.5941
184.25,103.26,7.5941
185.25,101.57,7.5941
186.25,101.32,7.5942
187.25,100.97,7.5942
188.25,135.69,7.6161
189.25,101.28,7.6161
190.26,101.09,7.6161
191.26,100.88,7.6161
