Time_Sec,CPU_Percent,Memory_GB
247.09,100.7,8.6347
248.1,97.5,8.6347
249.1,101.5,8.6347
250.1,99.7,8.6347
251.11,102.5,8.6347
252.11,99.5,8.6347
253.12,101.4,8.6347
254.12,101.5,8.6347
255.13,99.4,8.6347
256.13,101.5,8.6347
257.14,99.5,8.6347
258.15,100.4,8.6347
259.15,103.4,8.6347
260.16,100.5,8.6347
261.16,101.4,8.6347
262.16,100.7,8.6347
263.17,101.5,8.6347
264.18,99.5,8.6347
265.18,102.5,8.6347
266.19,99.5,8.6347
267.19,101.4,8.6347
268.2,100.5,8.6347
269.2,101.5,8.6347
270.21,103.4,8.6347
271.21,100.4,8.6347
272.22,99.5,8.6347
273.22,101.5,8.635
274.23,100.6,8.635
275.23,101.5,8.6351
276.24,100.5,8.6351
277.24,100.7,8.6351
278.25,99.5,8.6351
279.25,101.5,8.6351
280.26,101.5,8.6351
281.26,100.4,8.6351
282.27,100.5,8.6351
283.27,101.7,8.6351
284.28,101.5,8.6351
285.28,101.4,8.6351
286.29,99.4,8.6351
287.29,101.5,8.6351
288.3,100.5,8.6354
289.3,100.4,8.6354
290.31,100.4,8.6354
291.31,100.4,8.6354
292.32,101.6,8.6355
293.32,101.6,8.6355
294.33,100.4,8.6355
295.33,99.5,8.6355
296.34,101.4,8.6355
297.34,103.5,8.6355
298.35,100.5,8.6355
299.36,100.4,8.6355
300.36,101.5,8.6355
301.37,101.5,8.6355
302.37,100.5,8.6355
303.38,101.4,8.6355
304.38,101.4,8.6355
305.39,99.5,8.6355
306.39,100.5,8.6355
307.4,100.5,8.6355
308.4,101.4,8.6355
309.41,103.5,8.6355
310.41,100.5,8.6355
311.42,101.4,8.6355
312.42,101.4,8.6355
313.43,99.5,8.6355
314.44,101.5,8.6355
315.44,99.5,8.6355
316.44,106.6,1.9018
317.45,272.1,2.058
318.45,284.1,2.1461
319.46,217.0,2.2231
320.46,183.0,2.2729
321.47,254.0,2.3204
322.47,218.8,2.4207
323.48,122.4,1.7695
324.48,7.0,2.0144
325.48,286.1,2.1266
326.49,7.0,1.8819
327.49,265.2,2.0453
328.49,280.1,2.1345
329.5,2687.1,1.8691
330.5,256.3,2.0436
331.5,280.2,2.1463
332.5,15.0,1.8942
333.51,265.5,2.0469
334.51,287.1,2.149
335.52,3.0,1.9276
336.52,252.2,2.0704
337.52,270.1,2.1968
338.53,294.2,2.3502
339.53,2.0,1.9359
340.53,255.2,2.0854
341.54,290.1,2.257
342.54,8.0,1.903
343.54,301.0,2.1567
344.55,294.1,2.5017
345.55,241.2,2.7559
346.55,290.1,2.9021
347.56,300.0,3.1016
348.56,299.1,3.347
349.56,299.0,3.6617
350.56,300.1,3.9548
351.57,299.1,4.1982
352.57,299.2,4.3978
353.57,298.1,4.6123
354.58,300.3,4.8395
355.58,298.3,4.9947
356.58,300.1,5.2262
357.58,300.1,5.3713
358.59,298.4,5.4977
359.59,299.1,5.6204
360.59,298.1,5.8748
361.59,299.1,6.0089
362.6,243.1,6.1273
363.6,189.4,6.3222
364.61,205.1,6.62
365.61,117.4,6.7248
366.62,205.0,7.1099
367.62,121.4,7.1619
368.62,163.5,7.1619
369.63,130.3,7.1619
370.64,113.5,7.1619
371.64,110.7,7.2619
372.64,76.8,7.2561
373.64,101.7,7.2562
374.65,100.8,7.2564
375.65,69.8,7.2564
376.65,99.7,7.2564
377.65,101.8,7.2564
378.66,112.7,7.2564
379.66,99.7,7.2564
380.66,100.8,7.2564
381.66,100.7,7.2564
382.67,100.7,7.2569
383.67,101.8,7.2569
384.67,99.7,7.2569
385.68,101.7,7.2569
386.68,99.8,7.2569
387.68,117.7,7.2569
388.68,122.6,7.2569
389.69,99.8,7.2569
390.69,114.7,7.2569
391.69,102.6,7.2569
392.7,111.4,7.2569
393.7,105.7,7.2569
394.71,136.3,7.2569
395.71,101.6,7.2569
396.71,107.7,7.2569
397.72,104.4,7.2569
398.72,101.5,7.2569
399.73,101.4,7.2569
400.74,99.4,7.2569
401.74,101.6,7.2569
402.75,104.4,7.2572
403.75,103.4,7.2572
404.76,102.5,7.2572
405.76,102.4,7.2572
406.77,128.2,7.2572
407.77,101.7,7.2572
408.78,120.4,7.2572
409.78,101.4,7.2572
410.79,102.4,7.2572
411.79,109.3,7.2685
412.8,192.9,7.6432
413.81,117.3,7.6912
414.81,99.4,7.6914
415.82,102.5,7.6914
416.82,100.4,7.6914
417.83,102.5,7.6914
418.83,137.4,7.6914
419.84,102.4,7.6914
420.84,107.4,7.6914
421.85,110.7,7.6914
422.85,120.3,7.6914
423.86,123.4,7.6914
424.86,104.4,7.6914
425.87,101.4,7.6914
426.87,100.5,7.6914
427.88,106.4,7.6917
428.88,101.5,7.6917
429.89,100.4,7.6917
430.9,101.4,7.6917
431.9,102.5,7.6917
432.91,98.5,7.6917
433.91,101.4,7.6917
434.92,102.5,7.6917
435.92,100.5,7.6917
436.93,101.4,7.6917
437.93,100.7,7.6917
438.94,89.5,7.6917
439.94,100.5,7.6917
440.95,101.4,7.6917
441.95,113.4,7.6917
442.96,102.5,7.6917
443.96,103.4,7.6917
444.97,100.4,7.6917
445.97,119.3,7.6917
446.98,108.5,7.6917
447.98,100.4,7.6917
448.99,101.4,7.6917
450.0,101.4,7.6917
451.0,101.5,7.6917
452.01,102.5,7.6917
453.01,101.4,7.6917
454.02,100.5,7.6917
455.02,101.4,7.6917
456.03,99.4,7.6917
457.03,102.4,7.6917
458.04,101.4,7.6917
459.04,103.4,7.6917
460.05,99.4,7.6917
461.06,105.5,7.6917
462.06,102.5,7.6917
463.07,107.4,7.6917
464.07,118.3,7.6917
465.08,99.5,7.6917
466.08,103.5,7.6917
467.09,99.5,7.6917
468.09,101.5,7.6917
469.1,101.4,7.6917
470.1,100.4,7.6917
471.11,104.5,7.6917
472.11,204.3,7.8404
473.12,193.1,7.8409
474.12,113.4,7.8409
475.13,112.4,7.8409
476.13,188.3,7.8409
477.13,157.6,7.8413
478.14,181.0,7.8414
479.14,150.3,7.8414
480.15,110.4,7.8414
481.15,122.6,7.8414
482.16,102.5,7.8414
483.16,108.5,7.8439
